"ID","EXP_Pre_Mean","EXP_Pre_SD","EXP_Post_Mean","EXP_Post_SD","EXP_N","CON_Pre_Mean","CON_Pre_SD","CON_Post_Mean","CON_Post_SD","CON_N","MD","MD_SE","MD_variance","SMD","SMD_SE","SMD_variance"
"McDermott et al. 2009",5.54,5.67,5.39,7.33,37,5.97,6.59,5.28,4.95,28,0.539999999999999,1.6078398960326,2.58514913127413,0.0841255195976311,0.250590805887855,0.0627957519955248
"Vona et al 2009",4.5,2.6,9.9,2.5,52,4.3,2.3,5.1,2.5,50,4.6,0.495168968830144,0.245192307692308,1.84,0.236277056994838,0.0558268476621418
"Belardinelli et al. 2006 a",3.96,1.04,6.21,1.04,15,4.18,0.93,4.18,1,12,2.25,0.396048481880691,0.1568544,2.20028934023078,0.489543876532651,0.239653207050615
"Belardinelli et al. 2006 b",3.96,1.04,6.39,0.96,15,4,0.82,4,0.82,10,2.43,0.370604676288571,0.137347826086957,2.67682360557894,0.556753409486066,0.309974358974359
"Belardinelli et al. 2005",2.29,1.13,5.04,1.7,30,1.96,0.61,1.77,0.64,29,2.94,0.336687576093842,0.113358523895947,2.27397988584236,0.334122723974574,0.111637994676189
"Belardinelli et al. 2008 a",2.6,1.3,5.2,1.5,44,2.19,0.93,2.38,0.86,42,2.41,0.265329944381884,0.0703999793856937,1.95942668704831,0.262409252821899,0.0688586159665473
"Belardinelli et al. 2008 b",2.2,1.4,5,1.5,44,2.19,0.93,2.38,0.86,42,2.61,0.265329944381884,0.0703999793856937,2.12203471086975,0.269661289683682,0.0727172111538666
"Benda et al. 2016 a",5.3,2.6,4.7,2.5,10,5.3,2,5.4,2.4,9,-0.7,1.12728199927186,1.27076470588235,-0.285312640868201,0.461793572168727,0.213253303296353
"Benda et al. 2016 b",5.3,2.5,4.8,3,10,5.3,2,5.4,2.4,9,-0.600000000000001,1.25623152605673,1.57811764705882,-0.219450769482882,0.460845357737988,0.212378443748654
"Eleuteri et al. 2013",5.1,2.21,7,1.58,10,7.7,4.64,8.2,4.97,11,1.4,1.64549676913231,2.70765961722488,0.371744290070086,0.440680632533399,0.194199419890036
"Guazzi et al. 2004",4.87,1.04,8.13,1.64,16,4.52,0.93,4.02,0.85,15,3.76,0.474073355059121,0.224745545977011,2.85047688891228,0.510116239560958,0.260218577863812
